T,wm,N,t,U,J,Jphm,w0,g,lbd,k_sz,diis_mem,timestamp
10,8,1,0.2,4.0,0.6,0.1,0.1,0.1,0.02,24,5,2025050214225794849450042
10,8,1,0.2,3.0,0.8,0.1,0.1,0.2,0.02,24,5,2025050214225676751850035
10,8,1,0.2,4.0,0.6,0.1,0.1,0.2,0.02,24,5,2025050214225906414750037
10,8,1,0.2,4.0,0.6,0.1,0.1,0.2,0.05,24,5,2025050214225907268250041
10,8,1,0.2,3.0,1.0,0.1,0.1,0.2,0.02,24,5,2025050214225813422550036
10,8,1,0.2,4.0,0.6,0.1,0.1,0.1,0.05,24,5,2025050214225799307950040
10,8,1,0.2,4.0,0.8,0.1,0.1,0.1,0.02,24,5,2025050214485778048850039
10,8,1,0.2,4.0,0.8,0.1,0.1,0.2,0.02,24,5,2025050214504878278050037
10,8,1,0.2,4.0,0.6,0.1,0.1,0.2,0.07,24,5,2025050214470146176050038
10,8,1,0.2,4.0,0.8,0.1,0.1,0.2,0.05,24,5,2025050214510051132850041
10,8,1,0.2,4.0,0.8,0.1,0.1,0.1,0.07,24,5,2025050214502569526050035
10,8,1,0.2,4.0,0.8,0.1,0.1,0.1,0.05,24,5,2025050214502021080150042
10,8,1,0.2,4.0,0.8,0.1,0.1,0.2,0.07,24,5,2025050214542249151150036
10,8,1,0.2,4.0,1.0,0.1,0.1,0.1,0.02,24,5,2025050214571256360350040
10,8,1,0.2,4.0,1.0,0.1,0.1,0.1,0.07,24,5,2025050215161026822750037
10,8,1,0.2,4.0,1.0,0.1,0.1,0.2,0.02,24,5,2025050215162508622250038
10,8,1,0.2,4.0,1.0,0.1,0.1,0.1,0.05,24,5,2025050215154599843250039
10,8,1,0.2,5.0,0.6,0.1,0.1,0.1,0.02,24,5,2025050215224838020050042
10,8,1,0.2,5.0,0.6,0.1,0.1,0.1,0.05,24,5,2025050215232232347950036
10,8,1,0.2,4.0,1.0,0.1,0.1,0.2,0.07,24,5,2025050215215889829150035
10,8,1,0.2,4.0,1.0,0.1,0.1,0.2,0.05,24,5,2025050215205931286350041
10,8,1,0.2,5.0,0.6,0.1,0.1,0.1,0.07,24,5,2025050215275495451350040
10,8,1,0.2,5.0,0.6,0.1,0.1,0.2,0.05,24,5,2025050215454000866350038
10,8,1,0.2,5.0,0.6,0.1,0.1,0.2,0.02,24,5,2025050215433068210150037
10,8,1,0.2,5.0,0.8,0.1,0.1,0.1,0.02,24,5,2025050215494506947650042
10,8,1,0.2,5.0,0.6,0.1,0.1,0.2,0.07,24,5,2025050215492444150050039
10,8,1,0.2,5.0,0.8,0.1,0.1,0.1,0.05,24,5,2025050215513646306950036
10,8,1,0.2,5.0,0.8,0.1,0.1,0.1,0.07,24,5,2025050215542572331650035
10,8,1,0.2,5.0,0.8,0.1,0.1,0.2,0.05,24,5,2025050215581710203750040
10,8,1,0.2,5.0,0.8,0.1,0.1,0.2,0.02,24,5,2025050215563772018250041
10,8,1,0.2,5.0,1.0,0.1,0.1,0.1,0.02,24,5,2025050216155154443750037
10,8,1,0.2,5.0,0.8,0.1,0.1,0.2,0.07,24,5,2025050216114897863650038
10,8,1,0.2,5.0,1.0,0.1,0.1,0.1,0.07,24,5,2025050216202425611750039
10,8,1,0.2,5.0,1.0,0.1,0.1,0.1,0.05,24,5,2025050216172259315150042
10,8,1,0.2,5.0,1.0,0.1,0.1,0.2,0.05,24,5,2025050216243628397250035
10,8,1,0.2,6.0,0.6,0.1,0.1,0.1,0.02,24,5,2025050216281042021750041
10,8,1,0.2,5.0,1.0,0.1,0.1,0.2,0.07,24,5,2025050216253591228550040
10,8,1,0.2,5.0,1.0,0.1,0.1,0.2,0.02,24,5,2025050216242643441850036
10,8,1,0.2,6.0,0.6,0.1,0.1,0.1,0.07,24,5,2025050216452319420350038
10,8,1,0.2,6.0,0.6,0.1,0.1,0.1,0.05,24,5,2025050216433562299550037
10,8,1,0.2,6.0,0.6,0.1,0.1,0.2,0.05,24,5,2025050216471773265750042
10,8,1,0.2,6.0,0.8,0.1,0.1,0.1,0.02,24,5,2025050216560145009950041
10,8,1,0.2,6.0,0.6,0.1,0.1,0.2,0.07,24,5,2025050216550840548650035
10,8,1,0.2,6.0,0.8,0.1,0.1,0.1,0.07,24,5,2025050218122417884763544
10,8,1,0.2,6.0,1.0,0.1,0.1,0.1,0.02,24,5,2025050218122437076263542
10,8,1,0.2,6.0,1.0,0.1,0.1,0.1,0.05,24,5,2025050218122448320463543
10,8,1,0.2,6.0,0.8,0.1,0.1,0.2,0.02,24,5,2025050218122458304463547
10,8,1,0.2,6.0,0.8,0.1,0.1,0.1,0.05,24,5,2025050218122340298063546
10,8,1,0.2,6.0,0.8,0.1,0.1,0.2,0.07,24,5,2025050218122479917663549
10,8,1,0.2,6.0,0.8,0.1,0.1,0.2,0.05,24,5,2025050218122401887463545
10,8,1,0.2,6.0,0.6,0.1,0.1,0.2,0.02,24,5,2025050218122313949063548
10,8,1,0.2,6.0,1.0,0.1,0.1,0.1,0.07,24,5,2025050218375842872163544
10,8,1,0.2,6.0,1.0,0.1,0.1,0.2,0.02,24,5,2025050218402061453563542
10,8,1,0.2,6.0,1.0,0.1,0.1,0.2,0.05,24,5,2025050218405332777463543
10,8,1,0.3,3.0,0.6,0.1,0.1,0.1,0.05,24,5,2025050218455899369863549
10,8,1,0.3,3.0,0.6,0.1,0.1,0.1,0.02,24,5,2025050218450530781663546
10,8,1,0.3,3.0,0.6,0.1,0.1,0.1,0.07,24,5,2025050218460539142963545
10,8,1,0.2,6.0,1.0,0.1,0.1,0.2,0.07,24,5,2025050218434417636563547
10,8,1,0.3,3.0,0.6,0.1,0.1,0.2,0.02,24,5,2025050218522914851363548
10,8,1,0.3,3.0,0.6,0.1,0.1,0.2,0.07,24,5,2025050219073566388863542
10,8,1,0.3,3.0,0.8,0.1,0.1,0.1,0.05,24,5,2025050219084408292263549
10,8,1,0.3,3.0,0.6,0.1,0.1,0.2,0.05,24,5,2025050219032743832463544
10,8,1,0.3,3.0,0.8,0.1,0.1,0.1,0.07,24,5,2025050219104652065363546
10,8,1,0.3,3.0,0.8,0.1,0.1,0.2,0.05,24,5,2025050219132491717063547
